Basin,Date,Evapotranspiration (mm),Year
Area of Inland drainage in Rajasthan Basin,2022-11-01,0.17,2022
Area of Inland drainage in Rajasthan Basin,2022-11-02,0.16,2022
Area of Inland drainage in Rajasthan Basin,2022-11-03,0.16,2022
Area of Inland drainage in Rajasthan Basin,2022-11-04,0.16,2022
Area of Inland drainage in Rajasthan Basin,2022-11-05,0.15,2022
Area of Inland drainage in Rajasthan Basin,2022-11-06,0.14,2022
Area of Inland drainage in Rajasthan Basin,2022-11-07,0.14,2022
Area of Inland drainage in Rajasthan Basin,2022-11-08,0.11,2022
Area of Inland drainage in Rajasthan Basin,2022-11-09,0.41,2022
Area of Inland drainage in Rajasthan Basin,2022-11-10,0.27,2022
Area of Inland drainage in Rajasthan Basin,2022-11-11,0.19,2022
Area of Inland drainage in Rajasthan Basin,2022-11-12,0.16,2022
Area of Inland drainage in Rajasthan Basin,2022-11-13,0.18,2022
Area of Inland drainage in Rajasthan Basin,2022-11-14,0.17,2022
Area of Inland drainage in Rajasthan Basin,2022-11-15,0.15,2022
Area of Inland drainage in Rajasthan Basin,2022-11-16,0.17,2022
Area of Inland drainage in Rajasthan Basin,2022-11-17,0.15,2022
Area of Inland drainage in Rajasthan Basin,2022-11-18,0.14,2022
Area of Inland drainage in Rajasthan Basin,2022-11-19,0.14,2022
Area of Inland drainage in Rajasthan Basin,2022-11-20,0.14,2022
Area of Inland drainage in Rajasthan Basin,2022-11-21,0.14,2022
Area of Inland drainage in Rajasthan Basin,2022-11-22,0.13,2022
Area of Inland drainage in Rajasthan Basin,2022-11-23,0.13,2022
Area of Inland drainage in Rajasthan Basin,2022-11-24,0.13,2022
Area of Inland drainage in Rajasthan Basin,2022-11-25,0.13,2022
Area of Inland drainage in Rajasthan Basin,2022-11-26,0.12,2022
Area of Inland drainage in Rajasthan Basin,2022-11-27,0.12,2022
Area of Inland drainage in Rajasthan Basin,2022-11-28,0.12,2022
Area of Inland drainage in Rajasthan Basin,2022-11-29,0.11,2022
Area of Inland drainage in Rajasthan Basin,2022-11-30,0.1,2022
Area of Inland drainage in Rajasthan Basin,2022-12-01,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-02,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-03,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-04,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-05,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-06,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-07,0.05,2022
Area of Inland drainage in Rajasthan Basin,2022-12-08,0.06,2022
Area of Inland drainage in Rajasthan Basin,2022-12-09,0.05,2022
Area of Inland drainage in Rajasthan Basin,2022-12-10,0.05,2022
Area of Inland drainage in Rajasthan Basin,2022-12-11,0.05,2022
Area of Inland drainage in Rajasthan Basin,2022-12-12,0.05,2022
Area of Inland drainage in Rajasthan Basin,2022-12-13,0.05,2022
Area of Inland drainage in Rajasthan Basin,2022-12-14,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-15,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-16,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-17,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-18,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-19,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-20,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-21,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-22,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-23,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-24,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-25,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-26,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-27,0.03,2022
Area of Inland drainage in Rajasthan Basin,2022-12-28,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-29,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-30,0.04,2022
Area of Inland drainage in Rajasthan Basin,2022-12-31,0.03,2022
Area of Inland drainage in Rajasthan Basin,2023-01-01,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-02,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-03,0.03,2023
Area of Inland drainage in Rajasthan Basin,2023-01-04,0.03,2023
Area of Inland drainage in Rajasthan Basin,2023-01-05,0.03,2023
Area of Inland drainage in Rajasthan Basin,2023-01-06,0.03,2023
Area of Inland drainage in Rajasthan Basin,2023-01-07,0.03,2023
Area of Inland drainage in Rajasthan Basin,2023-01-08,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-09,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-10,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-11,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-12,0.05,2023
Area of Inland drainage in Rajasthan Basin,2023-01-13,0.03,2023
Area of Inland drainage in Rajasthan Basin,2023-01-14,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-15,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-17,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-18,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-19,0.04,2023
Area of Inland drainage in Rajasthan Basin,2023-01-20,0.21,2023
Area of Inland drainage in Rajasthan Basin,2023-01-21,0.1,2023
Area of Inland drainage in Rajasthan Basin,2023-01-22,0.08,2023
Area of Inland drainage in Rajasthan Basin,2023-01-23,0.08,2023
Area of Inland drainage in Rajasthan Basin,2023-01-24,0.07,2023
Area of Inland drainage in Rajasthan Basin,2023-01-25,0.07,2023
Area of Inland drainage in Rajasthan Basin,2023-01-26,0.08,2023
Area of Inland drainage in Rajasthan Basin,2023-01-27,0.08,2023
Area of Inland drainage in Rajasthan Basin,2023-01-28,0.08,2023
Area of Inland drainage in Rajasthan Basin,2023-01-29,0.07,2023
Area of Inland drainage in Rajasthan Basin,2023-01-30,0.21,2023
Area of Inland drainage in Rajasthan Basin,2023-01-31,0.19,2023
Area of Inland drainage in Rajasthan Basin,2023-02-01,0.24,2023
Area of Inland drainage in Rajasthan Basin,2023-02-02,0.26,2023
Area of Inland drainage in Rajasthan Basin,2023-02-03,0.26,2023
Area of Inland drainage in Rajasthan Basin,2023-02-04,0.25,2023
Area of Inland drainage in Rajasthan Basin,2023-02-05,0.25,2023
Area of Inland drainage in Rajasthan Basin,2023-02-06,0.24,2023
Area of Inland drainage in Rajasthan Basin,2023-02-07,0.21,2023
Area of Inland drainage in Rajasthan Basin,2023-02-08,0.21,2023
Area of Inland drainage in Rajasthan Basin,2023-02-09,0.19,2023
Area of Inland drainage in Rajasthan Basin,2023-02-10,0.23,2023
Area of Inland drainage in Rajasthan Basin,2023-02-11,0.19,2023
Area of Inland drainage in Rajasthan Basin,2023-02-12,0.18,2023
Area of Inland drainage in Rajasthan Basin,2023-02-13,0.17,2023
Area of Inland drainage in Rajasthan Basin,2023-02-14,0.18,2023
Area of Inland drainage in Rajasthan Basin,2023-02-15,0.18,2023
Area of Inland drainage in Rajasthan Basin,2023-02-16,0.18,2023
Area of Inland drainage in Rajasthan Basin,2023-02-17,0.17,2023
Area of Inland drainage in Rajasthan Basin,2023-02-18,0.17,2023
Area of Inland drainage in Rajasthan Basin,2023-02-19,0.17,2023
Area of Inland drainage in Rajasthan Basin,2023-02-20,0.17,2023
Area of Inland drainage in Rajasthan Basin,2023-02-21,0.16,2023
Area of Inland drainage in Rajasthan Basin,2023-02-22,0.14,2023
Area of Inland drainage in Rajasthan Basin,2023-02-23,0.16,2023
Area of Inland drainage in Rajasthan Basin,2023-02-24,0.14,2023
Area of Inland drainage in Rajasthan Basin,2023-02-26,0.18,2023
Area of Inland drainage in Rajasthan Basin,2023-02-27,0.17,2023
Area of Inland drainage in Rajasthan Basin,2023-02-28,0.16,2023
Area of Inland drainage in Rajasthan Basin,2023-03-01,0.14,2023
Area of Inland drainage in Rajasthan Basin,2023-03-02,0.28,2023
Area of Inland drainage in Rajasthan Basin,2023-03-03,0.19,2023
Area of Inland drainage in Rajasthan Basin,2023-03-04,0.15,2023
Area of Inland drainage in Rajasthan Basin,2023-03-05,0.5,2023
Area of Inland drainage in Rajasthan Basin,2023-03-06,0.28,2023
Area of Inland drainage in Rajasthan Basin,2023-03-07,0.24,2023
Area of Inland drainage in Rajasthan Basin,2023-03-08,0.22,2023
Area of Inland drainage in Rajasthan Basin,2023-03-09,0.31,2023
Area of Inland drainage in Rajasthan Basin,2023-03-10,0.3,2023
Area of Inland drainage in Rajasthan Basin,2023-03-11,0.29,2023
Area of Inland drainage in Rajasthan Basin,2023-03-12,0.28,2023
Area of Inland drainage in Rajasthan Basin,2023-03-13,0.27,2023
Area of Inland drainage in Rajasthan Basin,2023-03-14,0.26,2023
Area of Inland drainage in Rajasthan Basin,2023-03-15,0.24,2023
Area of Inland drainage in Rajasthan Basin,2023-03-16,0.2,2023
Area of Inland drainage in Rajasthan Basin,2023-03-17,0.42,2023
Area of Inland drainage in Rajasthan Basin,2023-03-18,0.78,2023
Area of Inland drainage in Rajasthan Basin,2023-03-19,0.47,2023
Area of Inland drainage in Rajasthan Basin,2023-03-20,0.57,2023
Area of Inland drainage in Rajasthan Basin,2023-03-21,0.89,2023
Area of Inland drainage in Rajasthan Basin,2023-03-22,0.75,2023
Area of Inland drainage in Rajasthan Basin,2023-03-23,0.89,2023
Area of Inland drainage in Rajasthan Basin,2023-03-24,0.8,2023
Area of Inland drainage in Rajasthan Basin,2023-03-25,0.72,2023
Area of Inland drainage in Rajasthan Basin,2023-03-26,0.83,2023
Barak and Others Basin,2022-11-01,3.61,2022
Barak and Others Basin,2022-11-02,3.39,2022
Barak and Others Basin,2022-11-03,2.83,2022
Barak and Others Basin,2022-11-04,3.09,2022
Barak and Others Basin,2022-11-05,3.22,2022
Barak and Others Basin,2022-11-06,3.1,2022
Barak and Others Basin,2022-11-07,2.81,2022
Barak and Others Basin,2022-11-08,2.81,2022
Barak and Others Basin,2022-11-09,2.9,2022
Barak and Others Basin,2022-11-10,2.79,2022
Barak and Others Basin,2022-11-11,2.55,2022
Barak and Others Basin,2022-11-12,2.23,2022
Barak and Others Basin,2022-11-13,2.38,2022
Barak and Others Basin,2022-11-14,2.29,2022
Barak and Others Basin,2022-11-15,2.21,2022
Barak and Others Basin,2022-11-16,2.09,2022
Barak and Others Basin,2022-11-17,2,2022
Barak and Others Basin,2022-11-18,1.99,2022
Barak and Others Basin,2022-11-19,2.08,2022
Barak and Others Basin,2022-11-20,1.88,2022
Barak and Others Basin,2022-11-21,1.9,2022
Barak and Others Basin,2022-11-22,1.83,2022
