"Reservoir_name","Basin","Subbasin","Agency_name","Date","Year","Month","Full_reservoir_level","Live_capacity_FRL","Storage","Level"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-01","2023","01","24","2.61E-6","NA","NA"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-02","2023","01","24","2.61E-6","0.00045","20.5"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-03","2023","01","24","2.61E-6","0.00044","20.47"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-04","2023","01","24","2.61E-6","0.00044","20.45"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-05","2023","01","24","2.61E-6","0.00043","20.4"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-06","2023","01","24","2.61E-6","0.00041","20.35"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-07","2023","01","24","2.61E-6","0.0004","20.3"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-08","2023","01","24","2.61E-6","0.00039","20.25"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-09","2023","01","24","2.61E-6","0.00038","20.2"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-10","2023","01","24","2.61E-6","0.00037","20.15"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-01-11","2023","01","24","2.61E-6","0.00035","20.1"
