"Reservoir_name","Basin","Subbasin","Agency_name","Date","Year","Month","Full_reservoir_level","Live_capacity_FRL","Storage","Level"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-01","2023","03","24","2.61E-6","7.0E-5","17.85"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-02","2023","03","24","2.61E-6","7.0E-5","17.76"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-03","2023","03","24","2.61E-6","6.0E-5","17.7"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-04","2023","03","24","2.61E-6","6.0E-5","17.63"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-05","2023","03","24","2.61E-6","NA","NA"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-06","2023","03","24","2.61E-6","5.0E-5","17.5"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-07","2023","03","24","2.61E-6","5.0E-5","17.5"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-08","2023","03","24","2.61E-6","NA","NA"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-09","2023","03","24","2.61E-6","4.0E-5","17.27"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-10","2023","03","24","2.61E-6","4.0E-5","17.2"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2023-03-11","2023","03","24","2.61E-6","3.0E-5","17.13"
