"Reservoir_name","Basin","Subbasin","Agency_name","Date","Year","Month","Full_reservoir_level","Live_capacity_FRL","Storage","Level"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-01","2022","11","24","2.61E-6","0.0012","22.37"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-02","2022","11","24","2.61E-6","0.0012","22.37"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-03","2022","11","24","2.61E-6","0.0012","22.37"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-04","2022","11","24","2.61E-6","0.00119","22.35"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-05","2022","11","24","2.61E-6","0.00119","22.35"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-06","2022","11","24","2.61E-6","NA","NA"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-07","2022","11","24","2.61E-6","0.00119","22.35"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-08","2022","11","24","2.61E-6","NA","NA"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-09","2022","11","24","2.61E-6","0.00116","22.3"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-10","2022","11","24","2.61E-6","0.00116","22.3"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-11","2022","11","24","2.61E-6","0.00115","22.28"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-12","2022","11","24","2.61E-6","0.00115","22.28"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-13","2022","11","24","2.61E-6","NA","NA"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-14","2022","11","24","2.61E-6","0.00111","22.22"
"Advana","West flowing rivers of Kutch and Saurashtra including Luni Basin","Bhadar and other west flowing rivers","Gujarat","2022-11-15","2022","11","24","2.61E-6","0.00111","22.22"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-01","2022","11","73.76","2.209E-5","0.00984","70.76"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-02","2022","11","73.76","2.209E-5","0.00984","70.76"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-03","2022","11","73.76","2.209E-5","0.01014","70.85"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-04","2022","11","73.76","2.209E-5","0.01014","70.85"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-05","2022","11","73.76","2.209E-5","0.01014","70.85"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-06","2022","11","73.76","2.209E-5","NA","NA"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-07","2022","11","73.76","2.209E-5","0.01014","70.85"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-08","2022","11","73.76","2.209E-5","NA","NA"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-09","2022","11","73.76","2.209E-5","0.01069","71"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-10","2022","11","73.76","2.209E-5","0.01107","71.1"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-11","2022","11","73.76","2.209E-5","0.01146","71.2"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-12","2022","11","73.76","2.209E-5","0.01162","71.25"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-13","2022","11","73.76","2.209E-5","NA","NA"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-14","2022","11","73.76","2.209E-5","0.01195","71.4"
"Aji - II","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-15","2022","11","73.76","2.209E-5","0.01213","71.5"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-01","2022","11","147.52","2.643E-5","0.02091","146.6"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-02","2022","11","147.52","2.643E-5","0.02074","146.57"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-03","2022","11","147.52","2.643E-5","0.02057","146.54"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-04","2022","11","147.52","2.643E-5","0.0204","146.51"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-05","2022","11","147.52","2.643E-5","0.02023","146.48"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-06","2022","11","147.52","2.643E-5","NA","NA"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-07","2022","11","147.52","2.643E-5","0.01989","146.42"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-08","2022","11","147.52","2.643E-5","NA","NA"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-09","2022","11","147.52","2.643E-5","0.01955","146.36"
"Aji-I","West flowing rivers of Kutch and Saurashtra including Luni Basin","Drainage of Rann","Gujarat","2022-11-10","2022","11","147.52","2.643E-5","0.01938","146.33"
