"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-01","2023","02","3.02045E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-04","2023","02","0.0002714781","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-06","2023","02","2.0181E-6","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-09","2023","02","0.2596766996","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-10","2023","02","0.0249403168","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-17","2023","02","6.9616E-6","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-02-19","2023","02","NA","NRSC VIC MODEL"
