"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-01","2023","03","0.4254333068","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-02","2023","03","0.3061684676","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-03","2023","03","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-04","2023","03","0.5574513548","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-05","2023","03","1.5557189285","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-06","2023","03","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-07","2023","03","0.0055386424","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-08","2023","03","1.5561462675","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-09","2023","03","0.0196464733","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-10","2023","03","4.15565E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-11","2023","03","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-13","2023","03","0.0002334209","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-12","2023","03","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-14","2023","03","0.0099719357","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-15","2023","03","0.0023407052","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-16","2023","03","0.1349464799","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-17","2023","03","2.9129622265","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-18","2023","03","2.0020787424","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-19","2023","03","1.028976844","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-20","2023","03","3.5823971812","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-22","2023","03","2.0524868377","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-21","2023","03","2.6036395036","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-23","2023","03","0.8709747512","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-24","2023","03","1.0454598096","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-25","2023","03","0.0112369643","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2023-03-26","2023","03","0.0002293249","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-02","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-01","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-03","2023","03","0.0038988257","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-04","2023","03","0.005404179","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-05","2023","03","0.0034945996","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-06","2023","03","0.0028882605","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-07","2023","03","0.0038932641","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-08","2023","03","0.0064442981","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-09","2023","03","0.0196779509","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-10","2023","03","0.1209499948","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-11","2023","03","0.0012835091","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-13","2023","03","0.00914087","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-12","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-14","2023","03","0.0027839441","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-15","2023","03","1.6745480945","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-16","2023","03","4.3147194561","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-17","2023","03","2.5728026326","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-18","2023","03","3.0405919378","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-19","2023","03","1.1192002587","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-20","2023","03","10.2932808882","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-22","2023","03","7.1053974564","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-21","2023","03","6.5901553496","NRSC VIC MODEL"
