"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-01","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-02","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-03","2022","11","0.0099965257","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-04","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-05","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-06","2022","11","9.0614E-6","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-08","2022","11","0.1118008612","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-09","2022","11","1.6814852754","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-10","2022","11","0.1845202049","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-11","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-12","2022","11","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-11-13","2022","11","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-01","2022","11","0.0200911039","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-02","2022","11","0.0001265486","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-04","2022","11","0.5338468736","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-03","2022","11","0.1717167138","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-05","2022","11","0.0266555174","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-06","2022","11","0.0058790847","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-07","2022","11","0.0006582794","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-08","2022","11","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-11-09","2022","11","0.0002203157","NRSC VIC MODEL"
